씨게이트,3.25M,13.42B,9.96B,8.23,1.22
아나로그디바이스,3.33M,37.93B,7.29B,30.82,1.32
아마존닷컴,5.73M,1.14T,280.52B,94.23,1.25
아비오메드,803.85K,7.27B,841.30M,29.34,0.62
아이덱스 래버러토리스,730.77K,22.42B,2.41B,52.06,0.75
아카마이,1.90M,16.33B,2.89B,32.77,0.32
알렉시온,2.63M,22.08B,4.99B,9.01,1.37
알파벳 A,2.63M,869.57B,161.86B,24.61,1.02
암젠,3.37M,133.30B,23.36B,16.95,0.91
애플,50.47M,1.26T,267.68B,21.58,1.16
액티비전 블리자드,8.51M,48.68B,6.49B,32.19,0.61
앤시스,758.26K,21.81B,1.52B,46.52,1.22
어도비 시스템즈,3.95M,164.18B,11.66B,48.54,0.89
어반 아웃피터스,2.17M,1.80B,3.98B,10.58,1.31
어플라이드 머티어리얼즈,10.44M,48.22B,15.02B,16.49,1.5
얼라인테크놀로지,1.19M,14.96B,2.41B,33.57,1.95
에퀴닉스,629.50K,58.86B,5.56B,109.6,0.43
엑셀 에너지,4.37M,34.78B,11.53B,24.14,0.3
엑셀론,7.41M,38.05B,34.44B,12.53,0.51
엔비디아,14.79M,173.78B,10.92B,59.68,1.39
오릴리 오토모티브,1.03M,26.46B,10.15B,19.45,0.92
오토데스크,2.42M,37.81B,3.27B,167.57,1.56
오토매틱 데이터 프로세싱,2.95M,62.12B,14.51B,24.66,0.88
월그린 부츠 얼라이언스,7.41M,40.69B,138.70B,11.33,0.66
웨스턴 디지털,6.01M,13.38B,15.58B,,1.76
윈 리조트,5.61M,8.01B,6.61B,60.53,2.38
유나이티드 항공,15.33M,7.64B,43.26B,2.49,1.68
이베이,14.99M,28.45B,10.80B,16.6,1.21
익스피다이터스,2.02M,11.86B,8.18B,20.81,0.78
익스피디아,4.20M,8.62B,12.07B,15.7,1.42
인사이트 코퍼레이션,1.90M,19.79B,2.16B,42.87,0.88
인텔,32.89M,259.66B,71.97B,12.42,0.84
인튜이트,1.79M,68.07B,7.13B,40.5,1
인튜이티브 서지컬,1.06M,59.30B,4.48B,42.84,0.98
인피네라,3.16M,1.08B,1.30B,,0.98
일렉트로닉 아츠,3.85M,32.45B,5.39B,11.5,0.89
일루미나?,1.53M,43.79B,3.54B,42.97,0.89
자이언스 뱅코프,3.85M,4.84B,1.62B,7.22,1.72
자일링스,3.95M,21.38B,3.23B,24.85,0.99
잭 헨리?앤 어소시에이츠,702.25K,12.89B,1.63B,44.64,0.63
제트블루 항공,10.98M,2.49B,8.09B,4.7,1.4
차터커뮤니케이션,1.90M,114.66B,45.76B,62.63,1.04
체크포인트 소프트웨어 테크놀로지스,1.55M,14.84B,1.99B,19.28,0.67
커클랜드,662.99K,11.22M,603.89M,,0.85
컴캐스트,29.69M,175.38B,108.94B,13.13,1.01
케이든스디자인시스템,2.33M,21.43B,2.34B,20.26,0.98
케이시제너럴스토어,430.05K,5.56B,9.54B,23.79,0.72
코그니전트 테크놀로지 솔루션 A,4.75M,29.66B,16.78B,16.03,1.11
코레바이오 파마 코퍼레이션,6.83M,25.68M,32.63M,,0.08
코스트코 홀세일,3.70M,138.72B,158.35B,35.45,0.75
퀄컴,12.46M,88.64B,19.81B,20.9,1.39
크래프트 하인즈,10.40M,34.76B,24.98B,17.66,0.92
테라다인,2.64M,10.55B,2.29B,23.42,1.41
테슬라,20.74M,130.70B,24.58B,,0.84
테이크투인터랙티브 소프트웨어,2.33M,13.93B,2.87B,41.11,0.62
텍사스인스트루먼츠,7.26M,103.59B,14.38B,20.55,1.13
트립닷컴,8.24M,14.26B,784.65M,16.2,1.69
티 로우 프라이스,1.90M,23.79B,5.62B,11.75,1.1
파이서브,5.00M,65.50B,10.19B,53.6,0.85
파카,2.42M,23.14B,25.60B,9.59,1.12
패스널,6.02M,19.84B,5.39B,23.36,1.09
패터슨 덴탈,1.40M,1.53B,5.64B,30.04,1.4
퍼스트 솔라,2.04M,4.46B,3.06B,,1.2
페이첵스,2.88M,23.72B,4.11B,20.92,0.95
펩시코,6.75M,192.27B,67.16B,25.2,0.61
플러그파워,16.66M,1.37B,230.24M,,1.25
플리어시스템,1.45M,4.69B,1.89B,27.66,1.36
핍스 서드,7.94M,12.20B,4.96B,5.17,1.71
해즈브로,1.81M,10.23B,4.72B,18.56,1.06
허먼밀러,668.09K,1.22B,2.68B,5.97,1.7
헌팅턴 뱅크셰어스,14.27M,8.59B,2.82B,6.89,1.62
헨리 샤인,1.97M,7.64B,9.99B,10.96,0.97
홀로직,2.84M,11.06B,3.39B,133.66,1.17
